brand,style,menWomen,name,link,brandSize,waistSize,fabric,price,maxHeightFront,minHeightFront,rivetHeightFront,maxWidthFront,minWidthFront,maxHeightBack,minHeightBack,maxWidthBack,minWidthBack,heightBack,widthBack
Arizona,skinny,women,Fave Super Skinny,"https://www.jcpenney.com/p/arizona-skinny-fit-jean-juniors/ppr5007654450?pTmplType=regular&deptId=dept20000013&urlState=/g/limited-time-special-arizona-jeans-women/N-bwo3xZ42Z1z1391pZ1z0n4sqZ9hZ1bwZ1z0pjrh&productGridView=medium&badge=new&selectedSKUId=66480590091&facetSelected=size,size_range",13 juniors,30,"78% cotton, 20% polyester, 2% spandex",42,15,15,7,14.5,13,14.5,12.5,13.5,12,,
Arizona,skinny,men,Skinny Fit,https://www.jcpenney.com/p/arizona-skinny-fit/ppr5007328223?pTmplType=regular&catId=cat100250010&deptId=dept20000014&urlState=/g/arizona-slim-fit-skinny-jeans-mens-jeans/N-bwo3yD1nopeiZ42Zxg6Zxg5ZxfvZxg1Z1z0pj4b&productGridView=medium&badge=onlyatjcp,32x32,32,"72% cotton, 19% polyester, 8% rayon, 1% spandex",50,26,20.5,7.5,17,14,17,14.7,14,13,,
Arizona,boot-cut,women,Perfect Boot,https://www.jcpenney.com/p/arizona-bootcut-jeans-juniors/ppr5007224760?pTmplType=regular&deptId=dept20000013&urlState=/g/limited-time-special-arizona-jeans-women/N-bwo3xZ42Z1z1391pZ1z0n4sqZ1bwZ1z0pjrh&productGridView=medium&badge=onlyatjcp&selectedSKUId=66480350042&facetSelected=size_range,13 juniors,30,"78% cotton, 20% polyester, 2% spandex",42,13.5,13.5,5.5,15,12.5,15,12.5,13,11.2,,
Arizona,boot-cut,men,Original Bootcut,https://www.jcpenney.com/p/arizona-original-bootcut-jeans/pp5007150073?pTmplType=regular&catId=cat100250010&deptId=dept20000014&urlState=/g/arizona-regular-fit-bootcut-jeans-mens-jeans/N-bwo3yD1nopeiZ42Zxg3Zxg2Z1z0phg7&productGridView=medium&badge=onlyatjcp,32x34,32,100% cotton,50,24.5,21.5,8.75,18,13.5,16,13.5,15.2,13.5,,
Ralph Lauren,skinny,women,Slimming Modern Skinny Jean,https://www.ralphlauren.com/women/slimming-modern-skinny-jean/271053.html?cgid=women&webcat=Women&dwvar271053_colorname=Rinse#q=Jeans&start=1&cgid=women,10/30,30,"92% cotton, 7% polyester, 1% elastane",89.5,12.5,12.5,6.5,13.5,11.5,14.5,12.2,13,12.5,,
Ralph Lauren,straight,women,Premier Straight,https://www.ralphlauren.com/women/premier-straight-jean/276793.html?cgid=women&dwvar276793_colorname=Rinse&webcat=Women#q=Jeans&prefn1=websize&prefv1=10&start=1&cgid=women,10/30,30,"92% cotton, 7% polyester, 1% elastane",89.5,14.5,14.5,5.5,14,11.2,14.2,12.5,12,11.5,,
Ralph Lauren,slim,men,Varick Slim Straight,https://www.ralphlauren.com/men-clothing-jeans/varick-slim-straight-jean/273193.html?dwvar273193_colorname=Medium%20Indigo&cgid=men-clothing-jeans&webcat=Men%2FClothing%2FJeans%20%20%20Denim#webcat=men%257Cclothing%257CJeans%2520%2526%2520Denim&start=1&cgid=men-clothing-jeans,32x30,32,100% cotton,89.5,23,23,7.5,15.5,14.5,16,14.2,15,13.5,,
Ralph Lauren,straight,men,Hampton Straight,https://www.ralphlauren.com/men-clothing-jeans/hampton-straight-jean/273192.html?cgid=men-clothing-jeans&dwvar273192_colorname=Light%20Inidgo&webcat=Men%2FClothing%2FJeans%20%20%20Denim#webcat=men%257Cclothing%257CJeans%2520%2526%2520Denim&start=1&cgid=men-clothing-jeans,32x30,32,100% cotton,89.5,24,24,8,17.5,14.5,17,15,15,12.5,,
Guess,skinny,women,Midrise Skinny,https://shop.guess.com/en/catalog/view/denim/women/mid-low-rise/mid-rise-skinny-jeans/w73ab3r1wt0,30,30,"70% cotton, 14% polyester, 14% lyocell, 2% elastane",98,14,11,7,14.5,11.5,14.5,11.5,12,11.5,,
Guess,boot-cut,women,Tailored Bootcut,https://shop.guess.com/en/catalog/view/denim/women/view-all/tailored-bootcut-jeans/wbfa21r25u0,30,30,"98% cotton, 2% elastane",89,13.7,15.5,7,15,12,11,9.2,9.5,8.5,,
Guess ,skinny,men,Skinny,https://shop.guess.com/en/catalog/view/denim/men/view-all/skinny-jeans/mb1an33036q,32x30,32,"98% cotton, 2% spandex",98,22.5,16.5,7,14,12,17,14.5,14.5,12,,
